route,distance,store,client
"['store', 'client']",[4.946339369544104],"(40.41101822870703, -79.91054922095948)","(40.449204609414245, -79.88053657035714)"
"['store', 'client']",[4.531531408426328],"(40.41101822870703, -79.91054922095948)","(40.450834207233314, -79.8988409997797)"
"['store', 'client']",[4.724169987745821],"(40.41101822870703, -79.91054922095948)","(40.43855889961485, -79.95297942533327)"
"['store', 'client']",[4.381283922739723],"(40.41101822870703, -79.91054922095948)","(40.45037990635424, -79.90698551473747)"
"['store', '56', '23', '5', '17', 'client']",[37.300083187728525],"(40.41101822870703, -79.91054922095948)","(40.440792286075656, -80.22409944544334)"
"['store', '56', '23', '5', 'client']",[29.612133249130107],"(40.41101822870703, -79.91054922095948)","(40.406420084518594, -80.19110582486995)"
"['store', 'client']",[9.92720734647161],"(40.41101822870703, -79.91054922095948)","(40.47215870874778, -79.8251822607686)"
"['store', '56', 'client']",[10.91768461339027],"(40.41101822870703, -79.91054922095948)","(40.39515203191967, -80.03456560102599)"
"['store', '11', 'client']",[10.966004088508598],"(40.41101822870703, -79.91054922095948)","(40.36374729292359, -80.01697922784004)"
"['store', '6', '39', 'client']",[17.297023050684217],"(40.41101822870703, -79.91054922095948)","(40.54359182575548, -80.0162955691658)"
"['store', 'client']",[6.801053893548725],"(40.41101822870703, -79.91054922095948)","(40.39542128300763, -79.98802452864041)"
"['store', '56', '23', '5', '17', '57', '54', '48', '59', 'client']",[66.69875224406],"(40.41101822870703, -79.91054922095948)","(40.60874350062132, -80.16079775384424)"
"['store', '15', 'client']",[16.16963413534327],"(40.41101822870703, -79.91054922095948)","(40.43651572750873, -79.77573748257988)"
"['store', 'client']",[6.024855552129975],"(40.41101822870703, -79.91054922095948)","(40.42252929178264, -79.9799204256688)"
"['store', '6', 'client']",[11.298830557358887],"(40.41101822870703, -79.91054922095948)","(40.47430852537589, -80.011469554733)"
"['store', 'client']",[4.726911231904735],"(40.41101822870703, -79.91054922095948)","(40.452048404389785, -79.9253886432088)"
"['store', 'client']",[6.044788558479162],"(40.41101822870703, -79.91054922095948)","(40.465433005717074, -79.91255869534369)"
"['store', '56', 'client']",[11.893066148929808],"(40.41101822870703, -79.91054922095948)","(40.445119870794734, -80.0429964954876)"
"['store', '56', 'client']",[12.745803851361707],"(40.41101822870703, -79.91054922095948)","(40.39801746883657, -80.05769808728557)"
"['store', 'client']",[9.483182506240304],"(40.41101822870703, -79.91054922095948)","(40.34819614212076, -79.83490075936301)"
"['store', 'client']",[6.681309633537585],"(40.41101822870703, -79.91054922095948)","(40.46289210317902, -79.95044695860871)"
"['store', '56', 'client']",[11.064236830810112],"(40.41101822870703, -79.91054922095948)","(40.453785645622695, -80.02667679309053)"
